genot	allele_measured	Other_allele_inGenot	Ct	RéplicatBiol_génotype	réplicat_Techclone	stade	recc_geno	recc_tech	recc_alle	x	info	Ct2
SCR02_SCR01	SCR02	SCR01	0.00564034842000976	71-4	71	C	2	1	2	2.1	NA	0.0260923333247146
SCR02_SCR01	SCR02	SCR01	0.00617219774893263	71-4	71	C	2	1	2	2.1	NA	0.0285526760084308
SCR02_SCR01	SCR02	SCR01	0.00504825324467771	71-4	71	C	2	1	2	2.1	NA	0.023353292484629
SCR02_SCR01	SCR02	SCR01	0.258218928787346	71-4	71	D	2	1	2	2.1	NA	1.19452449723993
SCR02_SCR01	SCR02	SCR01	0.265478450990589	71-4	71	D	2	1	2	2.1	NA	1.22810715189176
SCR02_SCR01	SCR02	SCR01	0.242602557873385	71-4	71	D	2	1	2	2.1	NA	1.12228293965034
SCR02_SCR03	SCR02	SCR03	0.346277367027732	43152	54	C	3	1	2	3.1	NA	1.60188410546391
SCR02_SCR03	SCR02	SCR03	0.403320879611064	43152	54	C	3	1	2	3.1	NA	1.8657682192638
SCR02_SCR03	SCR02	SCR03	0.3511112189345	43152	54	C	3	1	2	3.1	NA	1.6242455742601
SCR02_SCR03	SCR02	SCR03	0.0139524923603185	43152	54	D	3	1	2	3.1	NA	0.0645444313483269
SCR02_SCR03	SCR02	SCR03	0.0147480361356515	43152	54	D	3	1	2	3.1	NA	0.0682246283529571
SCR02_SCR03	SCR02	SCR03	0.0133841252964134	43152	54	D	3	1	2	3.1	NA	0.0619151570947028
SCR02_SCR10	SCR02	SCR10	0.00122471914995142	I9-56xNiv64-2	48	C	4	1	2	4.1	NA	0.00566556849153625
SCR02_SCR10	SCR02	SCR10	0.00118300071966804	I9-56xNiv64-2	48	C	4	1	2	4.1	NA	0.00547257842998684
SCR02_SCR10	SCR02	SCR10	0.00124181559217363	I9-56xNiv64-2	48	C	4	1	2	4.1	NA	0.00574465688039289
SCR02_SCR10	SCR02	SCR10	0.00278134803827553	I9-56xNiv64-2	48	D	4	1	2	4.1	NA	0.0128665562306877
SCR02_SCR10	SCR02	SCR10	0.00396077921792981	I9-56xNiv64-2	48	D	4	1	2	4.1	NA	0.0183226219169716
SCR02_SCR10	SCR02	SCR10	0.00393342011740906	I9-56xNiv64-2	48	D	4	1	2	4.1	NA	0.0181960583224746
SCR02_SCR10	SCR02	SCR10	0.000846227583830532	100-2	76	C	4	2	2	4.2	NA	0.0039146610353968
SCR02_SCR10	SCR02	SCR10	0.000978821447111498	100-2	76	C	4	2	2	4.2	NA	0.00452804216363792
SCR02_SCR10	SCR02	SCR10	0.000817401965760206	100-2	76	C	4	2	2	4.2	NA	0.00378131330951632
SCR02_SCR10	SCR02	SCR10	0.0021225290283712	100-2	76	D	4	2	2	4.2	NA	0.00981884996734796
SCR02_SCR10	SCR02	SCR10	0.00257716388822831	100-2	76	D	4	2	2	4.2	NA	0.0119219974009964
SCR02_SCR10	SCR02	SCR10	0.00282017421000487	100-2	76	D	4	2	2	4.2	NA	0.0130461666623573
SCR02_SCR12	SCR02	SCR12	0.0000845403728095047	157-8	7	C	5	1	2	5.1	NA	0.000391084986685525
